# Tetrahedron method
     -133.1569744956        0.0000000000
     -124.8851777792        0.0000000000
     -116.6133810629        0.0000000000
     -108.3415843465        0.0000000000
     -100.0697876302        0.0000000000
      -91.7979909138        0.0000000000
      -83.5261941975        0.0000000000
      -75.2543974811        0.0000000000
      -66.9826007647        0.0000000000
      -58.7108040484        0.0000000000
      -50.4390073320        0.0000000000
      -42.1672106157        0.0000000000
      -33.8954138993        0.0000000000
      -25.6236171830        0.0000000000
      -17.3518204666        0.0000000000
       -9.0800237503        0.0000000000
       -0.8082270339        0.0000000000
        7.4635696824        0.0005585109
       15.7353663988        0.0005467625
       24.0071631151        0.0006187493
       32.2789598315        0.0006648528
       40.5507565478        0.0009096122
       48.8225532642        0.0009789739
       57.0943499805        0.0011825886
       65.3661466969        0.0012679453
       73.6379434132        0.0013666293
       81.9097401296        0.0014572778
       90.1815368459        0.0015572908
       98.4533335623        0.0017053212
      106.7251302787        0.0018164141
      114.9969269950        0.0019593688
      123.2687237114        0.0021104636
      131.5405204277        0.0022499300
      139.8123171441        0.0024111324
      148.0841138604        0.0026544335
      156.3559105768        0.0028946621
      164.6277072931        0.0030931204
      172.8995040095        0.0033913858
      181.1713007258        0.0036025707
      189.4430974422        0.0040472124
      197.7148941585        0.0044518647
      205.9866908749        0.0050359038
      214.2584875912        0.0054942452
      222.5302843076        0.0063988890
      230.8020810239        0.0103474613
      239.0738777403        0.0127759539
      247.3456744566        0.0141933960
      255.6174711730        0.0170509201
      263.8892678893        0.0210592737
      272.1610646057        0.0259478214
      280.4328613221        0.0315292750
      288.7046580384        0.0722190348
      296.9764547548        0.0277433566
      305.2482514711        0.0317405421
      313.5200481875        0.0178247323
      321.7918449038        0.0168397062
      330.0636416202        0.0166517376
      338.3354383365        0.0166634366
      346.6072350529        0.0185244645
      354.8790317692        0.0643859360
      363.1508284856        0.0156640675
      371.4226252019        0.0250920602
      379.6944219183        0.0207180512
      387.9662186346        0.0170615940
      396.2380153510        0.0153434021
      404.5098120673        0.0048987867
      412.7816087837        0.0052563715
      421.0534055000        0.0057836814
      429.3252022164        0.0064228787
      437.5969989327        0.0074364080
      445.8687956491        0.0109794161
      454.1405923655        0.0158167212
      462.4123890818        0.0292480981
